Source,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,8,8,10,9,9,9,10,10,10,10,10,11,11,11,11,12,13,14,14,14,14,14,15,16,16,17,17,18,18,18,24,23,23,24,24,25,29,29,30,31,33,34,36,37,39,43,43,46,47,50,54,54,57,59,69,71,76,77,78,83,91,95,97,104,112,119,122,130,135,142,147,156,173,184,174,188,191,194,196,210,236,243,256,272,275,277,281,295,327,327,356,372,374,370,383,406,419,440,465,507,534,552,566,617,624,663,707,784,750,785,819,836,879,943,850,838,901,955,936,806,932,803,845,970,963,975,983,1062,1065,1145,1053,940,847,893,973,1027,1130,1209,1142,1192,1299,1334,1342,1391,1383,1160,1238,1392,1469,1419,1630,1767,1795,1841,1865,2042,2177,2270,2330,2454,2569,2580,2686,2833,2995,3130,3288,3393,3566,3780,4053,4208,4376,4614,4623,4596,4864,5016,5074,5357,5301,5138,5094,5075,5258,5417,5583,5725,5936,6066,6074,6142,6078,6070,6174,6305,6448,6556,6576,6561,6733,6893,6994,7376,7743,8042,8336,8503,8776,8697,9128,9503,9673,9773,9855
Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,3,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,6,7,7,8,8,8,9,10,11,10,10,11,10,11,14,16,17,19,21,23,28,28,25,24,25,28,30,34,38,37,38,42,42,45,50,54,59,61,67,76,81,97,115,124,131,138,150,161,178,192,206,227,240,263,286,316,337,364,392,424,467,493,530,560,588,597,604,630,650,680,721,737,755,738,739,807,835,830,892,935,982,1026,1051,1085,1117,1133,1151,1198,1197,1224,1258,1289,1316,1342,1397,1443,1485,1534,1562,1630,1584,1696,1756,1783,1806,1823
Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,3,4,4,5,5,5,6,8,9,9,10,9,11,12,13,13,14,16,18,19,20,23,23,23,28,30,32,34,36,37,41,42,45,48,54,53,61,78,84,94,111,110,116,119,136,143,160,152,147,141,154,162,176,192,219,214,222,229,236,222,239,275,275,292,322,364,362,423,479,504,533,557,625,679,714,731,789,849,904,980,1052,1137,1219,1323,1423,1551,1673,1839,1947,2057,2241,2245,2132,2314,2398,2392,2544,2422,2289,2196,2176,2199,2186,2293,2306,2412,2459,2492,2601,2499,2515,2539,2560,2626,2701,2763,2741,2845,2848,2832,2958,3043,3068,3091,3071,3103,3042,3107,3134,3200,3220,3280
Solids,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,8,8,10,9,9,9,10,10,10,10,10,11,11,11,11,12,13,14,14,14,14,14,15,16,16,17,17,18,18,18,24,23,23,24,24,25,29,29,30,31,33,34,36,37,39,43,43,46,47,50,54,54,57,59,69,71,76,77,78,83,91,95,96,103,112,119,122,130,134,142,146,156,173,183,173,187,190,192,194,207,233,239,252,269,271,273,275,287,317,318,345,360,363,358,372,393,405,425,449,491,515,531,543,593,597,636,680,750,714,747,778,792,834,895,800,784,842,891,873,735,843,709,740,845,836,842,846,905,890,947,862,759,675,708,775,811,893,941,880,918,1017,1043,1063,1092,1047,820,875,992,1015,960,1070,1129,1119,1125,1116,1208,1273,1309,1336,1382,1410,1349,1351,1396,1435,1460,1478,1448,1448,1486,1556,1559,1576,1581,1579,1673,1710,1756,1780,1875,1935,1908,1976,1977,2074,2216,2277,2339,2387,2428,2359,2284,2290,2225,2278,2359,2382,2409,2343,2310,2327,2445,2518,2695,2906,3108,3293,3422,3587,3590,3812,4055,4106,4126,4117
Cement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,8,7,7,8,9,11,11,12,13,11,12,11,10,7,7,10,12,14,16,18,20,22,24,27,30,32,34,36,40,43,45,49,51,57,59,63,65,70,74,78,84,89,95,96,95,103,108,116,119,120,121,121,125,128,131,137,143,152,156,157,161,167,176,186,197,203,209,209,217,226,237,252,276,298,320,356,382,388,415,446,494,519,554,568
Flaring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,26,27,27,31,32,35,35,36,39,42,44,47,51,55,60,66,73,80,87,88,95,110,107,92,108,104,106,98,86,65,64,58,51,49,46,44,50,41,40,45,36,37,39,39,40,40,36,35,46,47,49,48,54,60,62,66,69,66,67,64,65,68,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.69,0.69,0.69,0.69,0.74,0.78,0.79,0.8,0.83,0.85,0.84,0.86,0.89,0.92,0.94,0.97,0.98,1.01,1.05,1.1,1.12,1.14,1.18,1.16,1.13,1.18,1.19,1.18,1.23,1.19,1.14,1.11,1.08,1.1,1.12,1.13,1.14,1.16,1.16,1.14,1.14,1.11,1.09,1.09,1.1,1.11,1.11,1.1,1.08,1.1,1.11,1.11,1.16,1.2,1.23,1.26,1.27,1.3,1.27,1.32,1.36,1.36,1.36,1.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2,507,692,308 "," 2,560,869,565 "," 2,601,449,275 "," 2,668,115,942 "," 2,702,898,551 "," 2,759,459,459 "," 2,791,025,641 "," 2,873,417,722 "," 2,912,500,000 "," 2,956,626,506 "," 3,022,352,941 "," 3,071,428,571 "," 3,123,255,814 "," 3,183,146,067 "," 3,255,434,783 "," 3,329,787,234 "," 3,389,690,722 "," 3,462,244,898 "," 3,530,693,069 "," 3,600,000,000 "," 3,684,545,455 "," 3,757,142,857 "," 3,838,596,491 "," 3,910,169,492 "," 3,985,344,828 "," 4,067,256,637 "," 4,122,033,898 "," 4,215,126,050 "," 4,300,000,000 "," 4,355,284,553 "," 4,454,621,849 "," 4,507,017,544 "," 4,589,189,189 "," 4,699,074,074 "," 4,780,000,000 "," 4,836,607,143 "," 4,940,707,965 "," 5,021,929,825 "," 5,117,241,379 "," 5,229,310,345 "," 5,328,070,175 "," 5,387,719,298 "," 5,475,675,676 "," 5,568,807,339 "," 5,664,220,183 "," 5,731,818,182 "," 5,809,009,009 "," 5,906,306,306 "," 5,978,181,818 "," 6,075,000,000 "," 6,120,909,091 "," 6,209,909,910 "," 6,300,900,901 "," 6,358,620,690 "," 6,452,500,000 "," 6,538,211,382 "," 6,615,873,016 "," 6,695,275,591 "," 6,750,769,231 "," 6,848,031,496 "," 6,915,151,515 "," 6,987,500,000 "," 7,112,500,000 "," 7,186,029,412 "," 7,246,323,529 "
